单元ID,单元名称,目标规模,主要覆盖工具
AI1-01,标注平台（图像/文本/时空）,150–350,"labeling tools、workflows"
AI1-02,弱监督/程序化标注,150–350,"weak supervision libs"
AI1-03,合成数据与仿真生成,200–450,"simulators、synthetic generators"
AI1-04,数据质控与一致性评估,100–250,"QC metrics、audits"
AI1-05,数据集版本/治理/许可,100–250,"dataset management"

AI2-01,单模态 embedding（文本/序列/图）,250–600,"embedding models、toolkits"
AI2-02,多模态对齐与统一表示,200–450,"alignment toolkits"
AI2-03,向量索引/检索/ANN,200–450,"vector DB、ANN libs"
AI2-04,表示评测与探针任务,150–300,"benchmarks、probing"
AI2-05,生产化：缓存/更新/监控,100–250,"embedding pipelines"

AI3-01,训练框架与分布式/加速,250–600,"training stacks、distributed"
AI3-02,PEFT/对齐/指令微调,200–450,"LoRA/QLoRA、alignment"
AI3-03,数据管线与清洗（科研语料）,200–450,"dataset pipelines、dedup"
AI3-04,模型评测/红队/鲁棒性,150–350,"eval harness"
AI3-05,模型发布/服务/推理优化,150–300,"serving、quantization"

AI4-01,基准集合与任务定义,150–350,"benchmark repos、task specs"
AI4-02,指标/统计检验/置信区间,150–300,"metrics libs、stats"
AI4-03,自动评测 harness（可复现）,200–450,"eval runners、CI regression"
AI4-04,Leaderboard/记录/追踪,150–300,"tracking、leaderboards"
AI4-05,安全/偏差/可信评测,150–300,"safety/bias toolkits"

AI5-01,Agent 框架与编排（planner/executor/multi-agent）,250–600,"agent frameworks、graph orchestration"
AI5-02,工具注册表/函数调用/Schema,150–350,"OpenAPI/JSON schema、adapters"
AI5-03,LLM→工作流（Nextflow/Snakemake/CWL/WDL）,150–400,"workflow synthesis、executors"
AI5-04,追踪/回放/评测（tracing/eval/regression）,200–450,"tracing、eval harness、tests"
AI5-05,RAG与证据链（文献/引用溯源）,250–600,"retrievers、grounding、PDF parsing"
AI5-06,工具包装与沙箱执行（容器/策略）,150–350,"sandbox runners、container exec"
AI5-07,记忆/知识库/向量索引,200–500,"vector DB、KG/memory frameworks"
AI5-08,人机协作UI（notebook copilots等）,150–350,"interactive agents、review UIs"

AI6-01,容器/环境管理（conda/docker等）,200–450,"env managers、containers"
AI6-02,任务调度与作业管理（HPC）,150–350,"schedulers、job runners"
AI6-03,缓存/数据版本/Artifact 管理,150–350,"caching、artifact stores"
AI6-04,推理/训练加速与量化,200–450,"compilers、quantization"
AI6-05,可观测性/成本/监控,150–300,"monitoring、cost tools"
