单元ID,单元名称,目标规模,主要覆盖工具
B1-01,FASTQ/FASTA 解析与质量控制,200–450,"读写解析、trim/filter、QC报告、污染检测"
B1-02,比对与映射（短读长读）,250–600,"aligners、mappers、indexing、splice-aware"
B1-03,组装与纠错（短读/长读/混合）,200–500,"assemblers、polishers、error correction"
B1-04,序列注释与功能预测,250–600,"gene calling、domain annotation、orthology"
B1-05,定量与差异分析（bulk RNA等）,200–450,"quantifiers、DE tools、normalization"
B1-06,序列AI：LM/embedding/注释辅助,200–450,"protein/DNA LM、embedding、downstream kits"
B1-07,工作流与复现（nf-core/Snakemake等）,150–350,"pipelines、modules、容器配方、报告"

B2-01,BAM/CRAM/VCF 工具链与QC,200–450,"格式处理、统计、过滤、可视化"
B2-02,变异检测：SNP/INDEL,250–600,"callers、filters、joint genotyping"
B2-03,结构变异与拷贝数,200–450,"SV/CNV callers、整合器、可视化"
B2-04,phasing/单倍型与群体推断,150–350,"phasing、imputation、population genetics"
B2-05,注释与变异效应预测,200–450,"annotation engines、pathogenicity predictors"
B2-06,AI变异检测与融合模型,200–450,"DL callers、ensemble、校准/阈值学习"
B2-07,Benchmark/评测与真值集,150–350,"benchmark harness、truth sets、metrics"

B3-01,数据格式/读取/预处理与质控,250–500,"读写/转换、QC、双细胞、ambient、去噪"
B3-02,批次校正/整合/跨模态对齐,200–450,"integration、mapping、anchors、alignment"
B3-03,聚类/降维/轨迹/谱系推断,200–500,"clustering、DR、trajectory、velocity"
B3-04,细胞类型注释/参考映射/marker,200–450,"annotation、label transfer、marker discovery"
B3-05,空间：配准/解卷积/空间域识别,200–450,"registration、deconvolution、spatial graphs"
B3-06,多组学联合建模（CITE/ATAC等）,200–450,"multi-view、WNN、joint models"
B3-07,可视化/atlas浏览/交互报告,200–400,"viewers、dashboards、atlas portals"
B3-08,工作流与复现（modules/pipelines）,150–350,"nf-core、Snakemake、容器、回归测试"
B3-09,单细胞AI专项（foundation/SSL）,200–450,"sc foundation models、embedding、对比学习"

B4-01,reads QC/去宿主/污染控制,200–450,"QC、host removal、dedup、filter"
B4-02,组装/分箱/MAG 构建,200–500,"assemblers、binners、refiners"
B4-03,分类与物种注释,200–450,"taxonomy classifiers、marker tools"
B4-04,功能注释与通路分析,200–450,"gene prediction、KO/pathway annotation"
B4-05,群落统计/生态分析/可视化,150–350,"diversity、ordination、visualization"
B4-06,AI辅助宏基因组注释/预测,150–350,"embedding、LLM辅助注释、模型预测"
B4-07,工作流与benchmark,150–300,"pipelines、truth sets、metrics"

B5-01,多序列比对与修剪,200–450,"aligners、trimmers、masking"
B5-02,建树与模型选择,250–600,"ML/BI tree builders、model testing"
B5-03,系统发育比较与性状演化,150–350,"comparative methods、trait models"
B5-04,树可视化与注释,150–300,"viewers、annotation tools"
B5-05,大规模/加速/HPC phylo,150–300,"parallel tools、approximate inference"
B5-06,AI用于进化/树推断加速,100–250,"learned models、辅助推断、表示学习"

B6-01,实体识别/规范化/本体映射,200–450,"ontologies、ID mapping、NER/NEN"
B6-02,图构建/ETL/版本管理,150–350,"KG ETL、provenance、schema tools"
B6-03,图存储与查询（RDF/Property Graph）,200–450,"graph DB、SPARQL、query engines"
B6-04,图推理与embedding（GNN/KGE）,200–450,"KGE、GNN、link prediction"
B6-05,文献RAG+证据链（生医向）,250–600,"retrievers、citation grounding、fact checking"
B6-06,评测与数据集（KG benchmark）,150–300,"benchmarks、metrics、leaderboards"
