单元ID,单元名称,目标规模,主要覆盖工具
M1-01,结构构建/缺陷/超胞与输入生成,200–450,"builders、input generators、prototypes"
M1-02,DFT 求解器与接口层,250–600,"DFT codes、wrappers、drivers"
M1-03,高通量工作流与任务调度,200–450,"workflow、job mgmt、databases"
M1-04,输出解析/性质后处理,200–450,"parsers、property calculators"
M1-05,基准/验证/误差与收敛,150–300,"benchmark suites、convergence tools"
M1-06,AI加速DFT（代理/纠错/输入自动化）,200–450,"surrogates、auto-fix、LLM input"

M2-01,MD 引擎与并行/GPU,200–500,"engines、GPU backends"
M2-02,力场参数化与拟合,200–450,"fitting、parameter tools"
M2-03,神经网络势/机器学习势工具链,250–600,"NN potentials、training toolkits"
M2-04,轨迹分析/统计/可视化,200–450,"analysis libs、MSD/RDF、viz"
M2-05,主动学习采样与闭环,150–300,"AL loops、uncertainty sampling"
M2-06,工作流/复现/数据管理,150–300,"pipelines、databases"

M3-01,材料数据库/ETL/清洗,200–450,"databases、parsers、normalizers"
M3-02,特征工程/描述符/图表示,200–450,"descriptors、graph builders"
M3-03,性质预测模型库（传统+DL）,200–450,"ML/DL predictors、toolkits"
M3-04,UQ/校准/可解释性,150–300,"uncertainty、interpretability"
M3-05,Benchmark/评测与复现,150–300,"leaderboards、metrics"
M3-06,部署/检索/推荐（开源）,100–250,"search/recommender stacks"

M4-01,结构生成模型（diffusion/flow/VAE等）,200–450,"generative toolkits"
M4-02,约束满足/可行性检查/筛选,200–450,"validators、stability screens"
M4-03,目标导向优化（BO/RL）,150–350,"BO/RL optimizers"
M4-04,多目标/多保真闭环设计,150–300,"multi-fidelity loops"
M4-05,与DFT/MD联动的工作流,150–300,"closed-loop pipelines"
M4-06,Benchmark与数据集,150–300,"datasets、metrics"

M5-01,LIMS/实验记录/元数据标准,150–350,"ELN/LIMS、schemas"
M5-02,设备控制/机器人接口,150–350,"drivers、robotics integration"
M5-03,实验规划（BO/AL）与策略,150–350,"BO platforms、AL loops"
M5-04,表征数据解析（谱/显微）,200–450,"parsers、analysis"
M5-05,闭环系统平台（开源）,100–250,"orchestration platforms"
M5-06,合规/复现/审计,100–200,"provenance、tracking"
