单元ID,单元名称,目标规模,主要覆盖工具
P1-01,CFD 核心求解器（RANS/LES/DNS/多相/可压）,250–600,"开源求解器/框架、并行、模块生态"
P1-02,前处理：几何/网格生成/质量/自适应,200–500,"meshing、CAD修复、AMR、检查"
P1-03,湍流与物理模型库（closure/wall等）,150–350,"turbulence models、wall models"
P1-04,后处理与可视化（统计/涡结构等）,200–450,"postprocess、VTK/ParaView生态"
P1-05,UQ/敏感性/优化/伴随,200–450,"UQ、adjoint、calibration"
P1-06,AI4CFD：神经PDE/算子学习/ROM/代理,250–600,"PINN、FNO、DeepONet、ROM"
P1-07,数据同化（CFD+观测融合）,150–350,"EnKF/4DVar、hybrid models"
P1-08,HPC与工程化（GPU/容器/工作流）,150–350,"MPI/CUDA、build、containers"

P2-01,FEA/多物理求解器与框架,250–600,"FEM frameworks、coupled solvers"
P2-02,前处理：网格/几何/材料模型,200–450,"meshing、material models"
P2-03,后处理/可视化/结果分析,200–450,"postprocess、viz"
P2-04,反问题/优化/伴随,150–350,"adjoint、optimization"
P2-05,AI4PDE：PINN/算子学习/代理,200–500,"PINN/FNO/DeepONet toolkits"
P2-06,Benchmark与验证,150–300,"benchmarks、manufactured solutions"
P2-07,HPC与工程化,150–300,"parallel/GPU/containers"

P3-01,粒子/多体模拟引擎,200–500,"N-body、PIC、MD-like engines"
P3-02,分析/统计/可视化,150–350,"trajectory analysis、viz"
P3-03,加速与并行,150–300,"GPU/HPC frameworks"
P3-04,AI代理模拟与降阶,150–350,"surrogates、ROM、operator learning"
P3-05,数据集与benchmark,100–250,"datasets、metrics"

P4-01,反演/贝叶斯推断工具链,200–450,"Bayesian inference、sampling"
P4-02,优化库（梯度/无梯度/约束）,200–450,"optimizers、constraints"
P4-03,可微分模拟/自动微分,150–350,"differentiable simulators、AD"
P4-04,RL 控制与策略优化,200–450,"RL toolkits、control libs"
P4-05,UQ/校准/鲁棒性,150–300,"calibration、robust optimization"
P4-06,Benchmark与复现,100–250,"tasks、metrics"
